"Секція";"Поле";"Значення"
"Ресурс 3";"Формат";"GeoJSON"
"Ресурс 3";"Код ресурсу";"OTHER"
"Ресурс 3";"Дата створення ресурсу";"2026-03-10T15:59:45"
"Ресурс 3";"Дата оновлення ресурсу";"2026-03-10T16:02:53"
"Ресурс 3";"Період даних";"-"
"Ресурс 3";"Джерело даних";"ІАС «Майно»"
"Ресурс 3";"Володілець(і) даних";"-"
"Ресурс 3";"Розпорядник(ки) інформації ресурсу";"Департамент транспортної інфраструктури"
"Ресурс 3";"URL поточної версії ресурсу";"https://gisserver-stage.kyivcity.gov.ua/mayno/rest/services/KYIV_API/transport_public/MapServer/10/query?where=1%3D1&text=&objectIds=&time=&timeRelation=esriTimeRelationOverlaps&geometry=&geometryType=esriGeometryEnvelope&inSR=&spatialRel=esriSpatialRelIntersects&distance=&units=esriSRUnit_Meter&relationParam=&outFields=*&returnGeometry=true&returnTrueCurves=false&maxAllowableOffset=&geometryPrecision=&outSR=&havingClause=&returnIdsOnly=false&returnCountOnly=false&orderByFields=&groupByFieldsForStatistics=&outStatistics=&returnZ=false&returnM=false&gdbVersion=&historicMoment=&returnDistinctValues=false&resultOffset=&resultRecordCount=&returnExtentOnly=false&sqlFormat=none&datumTransformation=&parameterValues=&rangeValues=&quantizationParameters=&uniqueIds=&returnUniqueIdsOnly=false&featureEncoding=esriDefault&f=geojson"
"Ресурс 3";"Версії ресурсу";"-"
"Ресурс 3";"Доступність через API";"True"

"Ресурс 4";"Ідентифікатор ресурсу";"77325f5c-57d0-4f79-844a-cc73675f9743"
"Ресурс 4";"Назва ресурсу";"routeTaxi"
"Ресурс 4";"Опис ресурсу";"Кінцева точка API (посилання) для отримання даних про геометрію, ідентифікатори зупинки початку/кінця сегменту маршруту, напрямок руху по автобусних маршрутах регулярних перевезень, які працюють в режимі маршрутного таксі. Дані оприлюднені з ІАС «Майно». Дані надаються у форматі GeoJSON."
"Ресурс 4";"Формат";"GeoJSON"
"Ресурс 4";"Код ресурсу";"OTHER"
"Ресурс 4";"Дата створення ресурсу";"2026-03-10T16:02:53"
"Ресурс 4";"Дата оновлення ресурсу";"2026-03-10T22:36:47"
"Ресурс 4";"Період даних";"-"
"Ресурс 4";"Джерело даних";"ІАС «Майно»"
"Ресурс 4";"Володілець(і) даних";"Комунальна служба перевезень"
"Ресурс 4";"Розпорядник(ки) інформації ресурсу";"Департамент транспортної інфраструктури"
"Ресурс 4";"URL поточної версії ресурсу";"https://gisserver-stage.kyivcity.gov.ua/mayno/rest/services/KYIV_API/transport_public/MapServer/1/query?where=1%3D1&text=&objectIds=&time=&timeRelation=esriTimeRelationOverlaps&geometry=&geometryType=esriGeometryEnvelope&inSR=&spatialRel=esriSpatialRelIntersects&distance=&units=esriSRUnit_Meter&relationParam=&outFields=*&returnGeometry=true&returnTrueCurves=false&maxAllowableOffset=&geometryPrecision=&outSR=&havingClause=&returnIdsOnly=false&returnCountOnly=false&orderByFields=&groupByFieldsForStatistics=&outStatistics=&returnZ=false&returnM=false&gdbVersion=&historicMoment=&returnDistinctValues=false&resultOffset=&resultRecordCount=&returnExtentOnly=false&sqlFormat=none&datumTransformation=&parameterValues=&rangeValues=&quantizationParameters=&uniqueIds=&returnUniqueIdsOnly=false&featureEncoding=esriDefault&f=geojson"
"Ресурс 4";"Версії ресурсу";"-"
"Ресурс 4";"Доступність через API";"True"

"Ресурс 5";"Ідентифікатор ресурсу";"e9d7590e-55ff-4d5d-8b5a-251900ef1967"
"Ресурс 5";"Назва ресурсу";"routes"
"Ресурс 5";"Опис ресурсу";"Таблиця містить назву, опис, тип транспортних засобів, а також ідентифікатори перевізників, що обслуговують автобусні маршрути регулярних перевезень, які працюють в режимі маршрутного таксі на підставі Договорів про організацію перевезень пасажирів на міському автобусному маршруті загального користування м. Києва. Кожним записом в таблиці є транспортний засіб, на якому виконує перевезення один перевізник."
"Ресурс 5";"Формат";"CSV"
"Ресурс 5";"Код ресурсу";"routes"
"Ресурс 5";"Дата створення ресурсу";"2026-03-10T21:08:52"
"Ресурс 5";"Дата оновлення ресурсу";"2026-06-11T14:29:07"
"Ресурс 5";"Період даних";"? — 2026-06-11"
"Ресурс 5";"Джерело даних";"-"
"Ресурс 5";"Володілець(і) даних";"Комунальна служба перевезень"
"Ресурс 5";"Розпорядник(ки) інформації ресурсу";"Департамент транспортної інфраструктури"
"Ресурс 5";"URL поточної версії ресурсу";"https://data.kyivcity.gov.ua/uploads/versions/version_ed7e0599_v1.1.csv"
"Ресурс 5";"Версії ресурсу";"v1.2: https://data.kyivcity.gov.ua/uploads/versions/version_7f090d76_v1.2.csv, v1.1: https://data.kyivcity.gov.ua/uploads/versions/version_ed7e0599_v1.1.csv, v1.0: https://data.kyivcity.gov.ua/dataset/7b958c05-43ba-4ae5-b541-01904d658030/resource/e9d7590e-55ff-4d5d-8b5a-251900ef1967/download/routes.csv"
"Ресурс 5";"Доступність через API";"False"

"Ресурс 6";"Ідентифікатор ресурсу";"c4d2ed78-4335-4c79-8e41-1d2954d03931"
"Ресурс 6";"Назва ресурсу";"stopTimesKyivCityExpress"
"Ресурс 6";"Опис ресурсу";"Кінцева точка API (посилання) для отримання даних про коди та назви станцій (платформ) Київської міської електрички, назви та напрямки маршрутів, а також час прибуття та відправлення поїздів. Дані оприлюднені з ІАС «Майно». Дані надаються в форматі JSON."
"Ресурс 6";"Формат";"JSON"
"Ресурс 6";"Код ресурсу";"OTHER"
"Ресурс 6";"Дата створення ресурсу";"2026-03-10T21:19:14"
"Ресурс 6";"Дата оновлення ресурсу";"2026-03-10T21:28:05"
"Ресурс 6";"Період даних";"-"
"Ресурс 6";"Джерело даних";"ІАС «Майно»"
"Ресурс 6";"Володілець(і) даних";"-"
"Ресурс 6";"Розпорядник(ки) інформації ресурсу";"Департамент транспортної інфраструктури"
"Ресурс 6";"URL поточної версії ресурсу";"https://gisserver-stage.kyivcity.gov.ua/mayno/rest/services/KYIV_API/transport_public/MapServer/20/query?where=1%3D1&text=&objectIds=&time=&timeRelation=esriTimeRelationOverlaps&geometry=&geometryType=esriGeometryEnvelope&inSR=&spatialRel=esriSpatialRelIntersects&distance=&units=esriSRUnit_Foot&relationParam=&outFields=*&returnGeometry=true&returnTrueCurves=false&maxAllowableOffset=&geometryPrecision=&outSR=&havingClause=&returnIdsOnly=false&returnCountOnly=false&orderByFields=&groupByFieldsForStatistics=&outStatistics=&returnZ=false&returnM=false&gdbVersion=&historicMoment=&returnDistinctValues=false&resultOffset=&resultRecordCount=&returnExtentOnly=false&sqlFormat=none&datumTransformation=&parameterValues=&rangeValues=&quantizationParameters=&uniqueIds=&returnUniqueIdsOnly=false&featureEncoding=esriDefault&f=pjson"
"Ресурс 6";"Версії ресурсу";"-"
"Ресурс 6";"Доступність через API";"True"

"Ресурс 7";"Ідентифікатор ресурсу";"a4fd8556-025a-4e14-bc75-99e4c018d2b9"
"Ресурс 7";"Назва ресурсу";"kyivCityExpress"
"Ресурс 7";"Опис ресурсу";"Кінцева точка API (посилання) для отримання даних про схему Київської кільцевої електрички, зокрема, назви, коди та ідентифікатори зупинок початку та зупинок кінця сегментів маршруту Київської міської електрички, а також про напрями її маршрутів. Дані оприлюднені з ІАС «Майно». Дані надаються в форматі GeoJSON."
"Ресурс 7";"Формат";"GeoJSON"
"Ресурс 7";"Код ресурсу";"OTHER"
"Ресурс 7";"Дата створення ресурсу";"2026-03-10T21:26:04"
"Ресурс 7";"Дата оновлення ресурсу";"2026-04-08T12:01:44"
"Ресурс 7";"Період даних";"-"
"Ресурс 7";"Джерело даних";"ІАС «Майно»"
"Ресурс 7";"Володілець(і) даних";"-"
"Ресурс 7";"Розпорядник(ки) інформації ресурсу";"Департамент транспортної інфраструктури"
"Ресурс 7";"URL поточної версії ресурсу";"https://gisserver-stage.kyivcity.gov.ua/mayno/rest/services/KYIV_API/transport_public/MapServer/11/query?where=1%3D1&text=&objectIds=&time=&timeRelation=esriTimeRelationOverlaps&geometry=&geometryType=esriGeometryEnvelope&inSR=&spatialRel=esriSpatialRelIntersects&distance=&units=esriSRUnit_Foot&relationParam=&outFields=*&returnGeometry=true&returnTrueCurves=false&maxAllowableOffset=&geometryPrecision=&outSR=&havingClause=&returnIdsOnly=false&returnCountOnly=false&orderByFields=&groupByFieldsForStatistics=&outStatistics=&returnZ=false&returnM=false&gdbVersion=&historicMoment=&returnDistinctValues=false&resultOffset=&resultRecordCount=&returnExtentOnly=false&sqlFormat=none&datumTransformation=&parameterValues=&rangeValues=&quantizationParameters=&uniqueIds=&returnUniqueIdsOnly=false&featureEncoding=esriDefault&f=geojson"
"Ресурс 7";"Версії ресурсу";"-"
"Ресурс 7";"Доступність через API";"True"

"Ресурс 8";"Ідентифікатор ресурсу";"3ca6d5c4-7e00-4e8f-a2e7-bedfe61237f4"
"Ресурс 8";"Назва ресурсу";"stopsInterchangeKyivFunicular"
"Ресурс 8";"Опис ресурсу";"Кінцева точка API (посилання) для отримання даних про ідентифікатори, назви, коди станцій Київського фунікулеру та інформацію про зупинки/станції пересадки. Дані оприлюднені з ІАС «Майно». Дані надаються в форматі JSON."
"Ресурс 8";"Формат";"JSON"
"Ресурс 8";"Код ресурсу";"OTHER"
"Ресурс 8";"Дата створення ресурсу";"2026-03-10T21:32:33"
"Ресурс 8";"Дата оновлення ресурсу";"2026-03-10T21:45:05"
"Ресурс 8";"Період даних";"-"
"Ресурс 8";"Джерело даних";"ІАС «Майно»"
"Ресурс 8";"Володілець(і) даних";"Комунальне підприємство «Київпастранс»"
"Ресурс 8";"Розпорядник(ки) інформації ресурсу";"Департамент транспортної інфраструктури"
"Ресурс 8";"URL поточної версії ресурсу";"https://gisserver-stage.kyivcity.gov.ua/mayno/rest/services/KYIV_API/transport_public/MapServer/19/query?where=1%3D1&text=&objectIds=&time=&timeRelation=esriTimeRelationOverlaps&geometry=&geometryType=esriGeometryEnvelope&inSR=&spatialRel=esriSpatialRelIntersects&distance=&units=esriSRUnit_Foot&relationParam=&outFields=*&returnGeometry=true&returnTrueCurves=false&maxAllowableOffset=&geometryPrecision=&outSR=&havingClause=&returnIdsOnly=false&returnCountOnly=false&orderByFields=&groupByFieldsForStatistics=&outStatistics=&returnZ=false&returnM=false&gdbVersion=&historicMoment=&returnDistinctValues=false&resultOffset=&resultRecordCount=&returnExtentOnly=false&sqlFormat=none&datumTransformation=&parameterValues=&rangeValues=&quantizationParameters=&uniqueIds=&returnUniqueIdsOnly=false&featureEncoding=esriDefault&f=pjson"
"Ресурс 8";"Версії ресурсу";"-"
"Ресурс 8";"Доступність через API";"True"

"Ресурс 9";"Ідентифікатор ресурсу";"53cb69a6-6478-4799-abd5-3380a26d6f58"
"Ресурс 9";"Назва ресурсу";"timePeriodKyivFunicular"
"Ресурс 9";"Опис ресурсу";"Кінцева точка API (посилання) для отримання даних про погодинні інтервали руху Київського фунікулера в робочі та вихідні дні. Дані оприлюднені з ІАС «Майно». Дані надаються в форматі JSON."
"Ресурс 9";"Формат";"JSON"
"Ресурс 9";"Код ресурсу";"OTHER"
"Ресурс 9";"Дата створення ресурсу";"2026-03-10T21:45:05"
"Ресурс 9";"Дата оновлення ресурсу";"2026-03-10T21:51:01"
"Ресурс 9";"Період даних";"-"
"Ресурс 9";"Джерело даних";"ІАС «Майно»"
"Ресурс 9";"Володілець(і) даних";"Комунальне підприємство «Київпастранс»"
"Ресурс 9";"Розпорядник(ки) інформації ресурсу";"Департамент транспортної інфраструктури"
"Ресурс 9";"URL поточної версії ресурсу";"https://gisserver-stage.kyivcity.gov.ua/mayno/rest/services/KYIV_API/transport_public/MapServer/18/query?where=1%3D1&text=&objectIds=&time=&timeRelation=esriTimeRelationOverlaps&geometry=&geometryType=esriGeometryEnvelope&inSR=&spatialRel=esriSpatialRelIntersects&distance=&units=esriSRUnit_Foot&relationParam=&outFields=*&returnGeometry=true&returnTrueCurves=false&maxAllowableOffset=&geometryPrecision=&outSR=&havingClause=&returnIdsOnly=false&returnCountOnly=false&orderByFields=&groupByFieldsForStatistics=&outStatistics=&returnZ=false&returnM=false&gdbVersion=&historicMoment=&returnDistinctValues=false&resultOffset=&resultRecordCount=&returnExtentOnly=false&sqlFormat=none&datumTransformation=&parameterValues=&rangeValues=&quantizationParameters=&uniqueIds=&returnUniqueIdsOnly=false&featureEncoding=esriDefault&f=pjson"
"Ресурс 9";"Версії ресурсу";"-"
"Ресурс 9";"Доступність через API";"True"

"Ресурс 10";"Ідентифікатор ресурсу";"045dfda9-a8cf-4704-8012-f6f8ea05864e"
"Ресурс 10";"Назва ресурсу";"stopTimesKyivFunicular"
"Ресурс 10";"Опис ресурсу";"Кінцева точка API (посилання) для отримання даних про коди та назви станцій Київського фунікулера, напрямки маршрутів, а також час прибуття та відправлення першого та останнього поїздів. Дані оприлюднені з ІАС «Майно». Дані надаються в форматі JSON."
"Ресурс 10";"Формат";"JSON"
"Ресурс 10";"Код ресурсу";"OTHER"
"Ресурс 10";"Дата створення ресурсу";"2026-03-10T21:51:01"
"Ресурс 10";"Дата оновлення ресурсу";"2026-03-10T21:54:20"
"Ресурс 10";"Період даних";"-"
"Ресурс 10";"Джерело даних";"ІАС «Майно»"
"Ресурс 10";"Володілець(і) даних";"Комунальне підприємство «Київпастранс»"
"Ресурс 10";"Розпорядник(ки) інформації ресурсу";"Департамент транспортної інфраструктури"
"Ресурс 10";"URL поточної версії ресурсу";"https://gisserver-stage.kyivcity.gov.ua/mayno/rest/services/KYIV_API/transport_public/MapServer/17/query?where=&text=&objectIds=&time=&timeRelation=esriTimeRelationOverlaps&geometry=&geometryType=esriGeometryEnvelope&inSR=&spatialRel=esriSpatialRelIntersects&distance=&units=esriSRUnit_Foot&relationParam=&outFields=*&returnGeometry=true&returnTrueCurves=false&maxAllowableOffset=&geometryPrecision=&outSR=&havingClause=&returnIdsOnly=false&returnCountOnly=false&orderByFields=&groupByFieldsForStatistics=&outStatistics=&returnZ=false&returnM=false&gdbVersion=&historicMoment=&returnDistinctValues=false&resultOffset=&resultRecordCount=&returnExtentOnly=false&sqlFormat=none&datumTransformation=&parameterValues=&rangeValues=&quantizationParameters=&uniqueIds=&returnUniqueIdsOnly=false&featureEncoding=esriDefault&f=pjson"
"Ресурс 10";"Версії ресурсу";"-"
"Ресурс 10";"Доступність через API";"True"

"Ресурс 11";"Ідентифікатор ресурсу";"f8fdfebf-ffe5-4ee0-82c3-505213542271"
"Ресурс 11";"Назва ресурсу";"calendarKyivFunicular"
"Ресурс 11";"Опис ресурсу";"Кінцева точка API (посилання) для отримання даних про час роботи Київського фунікулера (відкриття та закриття), а також про кількість його вестибюлів. Дані оприлюднені з ІАС «Майно». Дані надаються в форматі JSON."
"Ресурс 11";"Формат";"JSON"
"Ресурс 11";"Код ресурсу";"OTHER"
"Ресурс 11";"Дата створення ресурсу";"2026-03-10T21:54:20"
"Ресурс 11";"Дата оновлення ресурсу";"2026-03-10T21:57:31"
"Ресурс 11";"Період даних";"-"
"Ресурс 11";"Джерело даних";"ІАС «Майно»"
"Ресурс 11";"Володілець(і) даних";"Комунальне підприємство «Київпастранс»"
"Ресурс 11";"Розпорядник(ки) інформації ресурсу";"Департамент транспортної інфраструктури"
"Ресурс 11";"URL поточної версії ресурсу";"https://gisserver-stage.kyivcity.gov.ua/mayno/rest/services/KYIV_API/transport_public/MapServer/16/query?where=1%3D1&text=&objectIds=&time=&timeRelation=esriTimeRelationOverlaps&geometry=&geometryType=esriGeometryEnvelope&inSR=&spatialRel=esriSpatialRelIntersects&distance=&units=esriSRUnit_Foot&relationParam=&outFields=*&returnGeometry=true&returnTrueCurves=false&maxAllowableOffset=&geometryPrecision=&outSR=&havingClause=&returnIdsOnly=false&returnCountOnly=false&orderByFields=&groupByFieldsForStatistics=&outStatistics=&returnZ=false&returnM=false&gdbVersion=&historicMoment=&returnDistinctValues=false&resultOffset=&resultRecordCount=&returnExtentOnly=false&sqlFormat=none&datumTransformation=&parameterValues=&rangeValues=&quantizationParameters=&uniqueIds=&returnUniqueIdsOnly=false&featureEncoding=esriDefault&f=pjson"
"Ресурс 11";"Версії ресурсу";"-"
"Ресурс 11";"Доступність через API";"True"

"Ресурс 12";"Ідентифікатор ресурсу";"f6f83ab2-3818-4d8c-93db-19dcda89cce9"
"Ресурс 12";"Назва ресурсу";"kyivFunicular"
"Ресурс 12";"Опис ресурсу";"Кінцева точка API (посилання) для отримання даних про схему Київського фунікулера, зокрема назви, коди та ідентифікатори зупинок початку та зупинок кінця сегментів маршруту Київського фунікулера, а також про напрями його маршрутів. Дані оприлюднені з ІАС «Майно». Дані надаються в форматі GeoJSON."
"Ресурс 12";"Формат";"GeoJSON"
"Ресурс 12";"Код ресурсу";"OTHER"
"Ресурс 12";"Дата створення ресурсу";"2026-03-10T21:57:31"
"Ресурс 12";"Дата оновлення ресурсу";"2026-04-08T12:09:39"
"Ресурс 12";"Період даних";"-"
"Ресурс 12";"Джерело даних";"ІАС «Майно»"
"Ресурс 12";"Володілець(і) даних";"Комунальне підприємство «Київпастранс»"
"Ресурс 12";"Розпорядник(ки) інформації ресурсу";"Департамент транспортної інфраструктури"
"Ресурс 12";"URL поточної версії ресурсу";"https://gisserver-stage.kyivcity.gov.ua/mayno/rest/services/KYIV_API/transport_public/MapServer/8/query?where=1%3D1&text=&objectIds=&time=&timeRelation=esriTimeRelationOverlaps&geometry=&geometryType=esriGeometryEnvelope&inSR=&spatialRel=esriSpatialRelIntersects&distance=&units=esriSRUnit_Foot&relationParam=&outFields=*&returnGeometry=true&returnTrueCurves=false&maxAllowableOffset=&geometryPrecision=&outSR=&havingClause=&returnIdsOnly=false&returnCountOnly=false&orderByFields=&groupByFieldsForStatistics=&outStatistics=&returnZ=false&returnM=false&gdbVersion=&historicMoment=&returnDistinctValues=false&resultOffset=&resultRecordCount=&returnExtentOnly=false&sqlFormat=none&datumTransformation=&parameterValues=&rangeValues=&quantizationParameters=&uniqueIds=&returnUniqueIdsOnly=false&featureEncoding=esriDefault&f=geojson"
"Ресурс 12";"Версії ресурсу";"-"
"Ресурс 12";"Доступність через API";"True"

"Ресурс 13";"Ідентифікатор ресурсу";"f7d0b201-c3c4-4f97-977c-91a3f144588c"
"Ресурс 13";"Назва ресурсу";"stopsInterchangeUnderground"
"Ресурс 13";"Опис ресурсу";"Кінцева точка API (посилання) для отримання даних про ідентифікатори, назви, коди станцій Київського метрополітену та інформацію про зупинки/станції пересадки. Дані оприлюднені з ІАС «Майно». Дані надаються в форматі JSON."
"Ресурс 13";"Формат";"JSON"
"Ресурс 13";"Код ресурсу";"OTHER"
